id,company_name,address_1,address_2,city,state,zip,phone,website,op_address_source
28,Bixby International Corporation,1 Preble Road,,Newburyport,MA,01950-4065,9784624100,bixbyintl.com,http://www.bixbyintl.com/contact.shtml
55,Crosby Valve Inc,43 Kendrick Street,,Wrentham,MA,02093-1544,5083843121,crosbyvalve.com,http://www.hoovers.com/company/Crosby_Valve_Inc/rfrtjky-1.html
65,"Russelectric, Inc.",South Shore Parks,,Hingham,MA,02043-4387,7817496000,russelectric.com,http://www.russelectric.com/contact
71,Litecontrol Corp.,65 Spring Street,,Plympton,MA,2367,7812940100,litecontrol.com,http://www.litecontrol.com/contact/
76,American Brush Company Inc,300 Industrial Boulevard,,Claremont,NH,03743-5123,6312533333,americanbrush.com,http://www.bizdays.com/NewHampshire/bizid-92464.html
110021,Adesa Jacksonville,11700 New Kings Road,,Jacksonville,FL,32219,9047641004,adesa.com,
84,Tillotson Corporation,59 Waters Avenue,,Everett,MA,2149,6173879400,,http://investing.businessweek.com/research/stocks/private/people.asp?privcapId=4268850
97,Cambridge Tool & Mfg.,67 Faulkner Street.,,North Billerica,MA,1862,9786678400,cambridgetool.com,http://www.bizdays.com/Massachusetts/bizid-579963.html
110247,"Cummins Intermountain, Llc",8211 East 96th Avenue,,Henderson,CO,80640,3032870201,http://cumminsrmi.com,
110266,"Decor Holdings, Inc",225 Foxboro Boulevard,,Foxboro,MA,2035,5083399151,,
119,IFP Incorporated,2125 Airport Drive,,Faribault,MN,55021-7798,5073342730,ifpinc.biz,http://www.ifpinc.biz/ifp/index.cfm/contact-us/
137,Ashworth Bros Inc,222 Milliken Boulevard,Suite 4,Fall River,MA,02721-1623,5086744693,ashworth.com,http://www.hoovers.com/company/Ashworth_Bros_Inc/rfyhxrh-1.html
139,Boston Sausage & Provision,7 Wells Avenue,Suite 2-2,Newton,MA,02459-3212,6179695600,,http://www.hoovers.com/company/Boston_Sausage__Provision_Inc/rfyhsfj-1.html
145,Pneumatic Scale Corp.,4485 Allen Road,,Stow,OH,44224,3302471800,pneumaticscale.com,http://www.pneumaticscale.com/content/menus/psa/contact.aspx
110328,Eschelon Telecom Of Minnesota Inc,730 2nd Avenue South Ste 1200,,Minneapolis,MN,55402,6123764400,,
153,Crown Clothing Corp,340 Vanderbilt Avenue,,Norwood,MA,02062-5008,7817690001,crownclothingcorp.com,http://www.hoovers.com/company/Crown_Clothing_Business_Trust/rfcfsrc-1.html
165,"Courier Westford, Inc.",15 Wellman Avenue,,North Chelmsford,MA,1863,9782516000,courier.com,http://www.hoovers.com/company/Courier_Corporation/ryrtci-1.html
171,S-N Bedding Co Inc,61 Leona Drive,,Middleboro,MA,02346-1404,5089464700,serta.com,http://www.whitepages.com/business/reverse_phone?phone_number=9722788006
173,Dodge Company Inc,165 Cambridge Parks Drive,,Cambridge,MA,2140,6176610500,dodgeco.com,http://www.dodgeco.com/contact.html
174,Lowell Sun Publishing Co.,491 Dutton Street.,,Lowell,MA,1854,9784591300,lowellsun.com,http://www.lowellsun.com/contactus
175,Flagship Press Inc,150 Flagship Drive,,North Andover,MA,1845,9789753100,flagshippress.com,http://www.flagshippress.com/about/Environmental_Responsibility.cfm
176,"Kayem Foods, Inc.",75 Arlington Street.,,Chelsea,MA,2150,6178891600,kayem.com,http://www.kayem.com/contact/index.html
110488,"Information Technology, Inc",1345 Old Cheney Road,,Lincoln,NE,68512,4024232682,fiserv.com,
110493,Installer Sales & Service Inc,208 Penland Street,,Fort Worth,TX,76111,8178345559,,
110494,Intcomex Holdings Llc,3505 North West 107th Avenue,,Miami,FL,33178,3054776230,intcomex.com,
182,"Goulston Technologies, Inc.",700 North. Johnson Street.,,Monroe,NC,28110,7042896464,goulston.com,http://www.goulston.com/contactus.html
185,"Carpenter & Paterson, Inc.",225 Merrimac Street.,,Woburn,MA,1801,7819352950,carpenterandpaterson.com,http://www.hoovers.com/company/Carpenter__Paterson_Inc/rfhfstr-1.html
186,"Shawsheen Rubber Co., Inc.",220 Andover Street.,,Andover,MA,1810,9784751710,shawsheencc.com,http://www.bizdays.com/Massachusetts/bizid-613743.html
193,J.L. Hammett Company,Hammett Place,,Braintree,MA,2184,7818481000,hammett.com,http://www.spoke.com/info/c4JhQ5b/JLHammettCompany
196,"Lawrence Pumps, Inc.",371 Market Street.,,Lawrence,MA,1843,8004345248,lawrencepumps.com,http://www.lawrencepumps.com/Company/contact.htm
200,Malden International Designs,20 Kendrick Road.,,Wareham,MA,2571,5082911104,malden.cameoez.com,http://www.bizdays.com/Massachusetts/bizid-351758.html
110643,Midcon Investors Inc,401 South Boston Avenue Ste 3600,,Tulsa,OK,74103,9185877325,,
110647,"Miltex Holdings, Inc",589 Davies Drive,,York,PA,17402,7178409335,integra-ls.com,
201,Pepsi-Cola Methuen Bottlers,261 Neck Road,,Haverhill,MA,01835-8029,9785213923,,http://www.bizdays.com/Massachusetts/bizid-244624.html
203,Harrington Bros. Corp.,1043 Turnpike Street.,,Stoughton,MA,2072,7813411999,,http://www.yellowpages.com/Stoughton-MA/Harrington%20Bros%2E%20Corp%2E
207,Lynwood Laboratories Inc,945 Great Plain Avenue,,Needham,MA,02492-3000,7814496776,,http://www.hoovers.com/company/Lynwood_Laboratories_Inc/rfjfxry-1.html
214,"United Curtain Co., Inc.",120 Kingston Street.,,Boston,MA,2111,6174264838,,http://www.bizdays.com/Massachusetts/bizid-68345.html
233,"Monadnock Paper Mills, Inc.",117 Antrim Road.,,Bennington,NH,3442,6035883311,mpm.com,http://www.whitepages.com/business/reverse_phone?phone_number=%3E6035883311%3C
236,"G.S. Precision, Inc.",101 John Seitz Drive.,,Brattleboro,VT,5301,8022575200,gsprecision.com,http://www.gsprecision.com/contact
241,"White Rock Distilleries, Inc.",21 Saratoga Street.,,Lewiston,ME,4241,2077831433,whiterockdistillieries.com,http://investing.businessweek.com/research/stocks/private/people.asp?privcapId=28373680
244,International Paper Box Mch Co,90 Northeastern Boulevard,,Nashua,NH,03062-3160,6038896651,ipbmco.com,http://www.bizdays.com/NewHampshire/bizid-463079.html
247,Thermal Dynamics Corp.,82 Benning Street.,,West Lebanon,NH,3784,6032985711,thermadyne.com,http://investing.businessweek.com/research/stocks/private/people.asp?privcapId=24929294
248,Graphic Packaging Inc,6 Merrill Industrial Drive,,Hampton,NH,03842-1970,6039263391,JDCAHILL.COM,http://www.youinweb.com/profiles/03842/j-d-cahill-co_338365023.htm
110889,Shusters Family Partnership Lp,2920 Clay Pike,,Irwin,PA,15642,4123510979,http://shusters.com,
110895,Smith Industries Incorporated,2001 Kenilworth Avenue,,Capitol Heights,MD,20743,3017731266,smithindustries.us,
251,"Nim-Cor, Inc.",575 Amherst Street.,,Nashua,NH,3063,6038892153,nimcor.com,http://www.nimcor.com/contact.html
18462,Trevarrow Inc,1295 North Opdyke Road,,Auburn Hills,MI,48326-2648,8004821948,trevarrowinc.com,http://www.trevarrowinc.com/Index.aspx?section=TrevarrowShowroomLocations
111051,Utility Shared Services Corp,52 Farm View Drive,,New Gloucester,ME,04260-5100,2076886300,,
111112,"Wolseley Investments, Inc",12500 Jefferson Avenue,,Newport News,VA,23602,7578747795,,
