2	CD	XXX
tsp	NN	XXX
powdered	VBD	XXX
gelatine	NN	XXX
		
500	CD	XXX
ml	JJ	XXX
semi-skimmed	JJ	XXX
milk	NN	XXX
		
2	CD	XXX
tbsp	JJ	XXX
caster	NN	XXX
sugar	NN	XXX
		
1	CD	XXX
tsp	JJ	XXX
pure	NN	XXX
almond	NN	XXX
extract	NN	XXX
		
Mixed	NNP	XXX
fruit	NN	XXX
cut	NN	XXX
neatly	RB	XXX
		
3	CD	XXX
Oranges	NNS	XXX
		
3	CD	XXX
tbsp	JJ	XXX
caster	NN	XXX
sugar	NN	XXX
		
2	CD	XXX
cardamom	NN	XXX
pods	NNS	XXX
very	RB	XXX
lightly	RB	XXX
crushed	VBN	XXX
		
1	CD	XXX
tbsp	NN	XXX
lemon	NN	XXX
juice	NN	XXX
		
1	CD	XXX
tbsp	JJ	XXX
orange-flower	JJ	XXX
water	NN	XXX
or	CC	XXX
more	JJR	XXX
to	TO	XXX
taste	VB	XXX
		
2	CD	XXX
bananas	NNS	XXX
		
½	NN	XXX
pomegranate	NN	XXX
		
50g	CD	XXX
nyoze	NN	XXX
(	(	XXX
pine	JJ	XXX
nuts	NNS	XXX
)	)	XXX
		
1	CD	XXX
tbsp	JJ	XXX
olive	JJ	XXX
oil	NN	XXX
		
1	CD	XXX
baby	NN	XXX
onion	NN	XXX
,	,	XXX
finely	RB	XXX
chopped	VBD	XXX
		
1	CD	XXX
garlic	JJ	XXX
clove	NN	XXX
,	,	XXX
crushed	VBD	XXX
		
15g	CD	XXX
unsalted	JJ	XXX
butter	NN	XXX
		
350g	CD	XXX
mushrooms	NNS	XXX
,	,	XXX
thickly	RB	XXX
sliced	VBD	XXX
		
100g	CD	XXX
mixed	JJ	XXX
exotic	JJ	XXX
mushrooms	NNS	XXX
,	,	XXX
thickly	RB	XXX
sliced	VBD	XXX
,	,	XXX
optional	JJ	XXX
		
2	CD	XXX
tsp	JJ	XXX
balsamic	JJ	XXX
vinegar	NN	XXX
		
1	CD	XXX
tsp	NN	XXX
chopped	VBD	XXX
fresh	JJ	XXX
thyme	NN	XXX
		
6	CD	XXX
eggs	NNS	XXX
		
2	CD	XXX
tablespoons	NNS	XXX
mayonnaise	NN	XXX
		
1	CD	XXX
teaspoon	NN	XXX
Dijon	NNP	XXX
mustard	NN	XXX
,	,	XXX
ordinary	JJ	XXX
mustard	NN	XXX
can	MD	XXX
be	VB	XXX
used	VBN	XXX
		
1/2	CD	XXX
teaspoon	NN	XXX
salt	NN	XXX
		
1/4	CD	XXX
teaspoon	NN	XXX
ground	NN	XXX
black	JJ	XXX
pepper	NN	XXX
		
1/4	CD	XXX
teaspoon	NN	XXX
Cayenne	NNP	XXX
poweder	NN	XXX
,	,	XXX
Kashmiri	NNP	XXX
degi	VBZ	XXX
mirch	NN	XXX
or	CC	XXX
similar	JJ	XXX
mild	NNS	XXX
chilly	RB	XXX
		
1	CD	XXX
3/4	CD	XXX
litres	NNS	XXX
water	NN	XXX
		
600g	CD	XXX
sooji	NN	XXX
or	CC	XXX
sabudana	VB	XXX
flour	NN	XXX
		
250g	CD	XXX
whole	JJ	XXX
wheat	NN	XXX
flour	NN	XXX
		
4	CD	XXX
tablespoons	NNS	XXX
chana	VBP	XXX
flour	NN	XXX
(	(	XXX
gram	VB	XXX
flour	NN	XXX
)	)	XXX
		
1/2	CD	XXX
tsp	NN	XXX
chilly	RB	XXX
powder	VB	XXX
		
1	CD	XXX
tsp	NN	XXX
salt	NN	XXX
		
1	CD	XXX
tsp	JJ	XXX
fennel	NN	XXX
seeds	NNS	XXX
,	,	XXX
coarsely	RB	XXX
ground	NN	XXX
		
1/2	CD	XXX
tsp	JJ	XXX
cumin	NN	XXX
seeds	NNS	XXX
		
2	CD	XXX
tbsp	NN	XXX
vegetable	JJ	XXX
oil	NN	XXX
		
pinch	NN	XXX
of	IN	XXX
soda	NN	XXX
bicarb	NN	XXX
,	,	XXX
optional	JJ	XXX
		
100g	CD	XXX
finely	RB	XXX
chopped	VBN	XXX
fresh	JJ	XXX
spinach	NN	XXX
		
60ml	CD	XXX
vegetable	JJ	XXX
oil	NN	XXX
for	IN	XXX
frying	NN	XXX
		
2	CD	XXX
tablespoons	NNS	XXX
vegetable	JJ	XXX
oil	NN	XXX
		
350g	CD	XXX
long	JJ	XXX
grain	NN	XXX
rice	NN	XXX
		
225g	CD	XXX
tomato	NN	XXX
paste	NN	XXX
		
1	CD	XXX
teaspoon	NN	XXX
minced	VBD	XXX
garlic	JJ	XXX
		
1/4	CD	XXX
teaspoon	NN	XXX
salt	NN	XXX
		
1	CD	XXX
teaspoon	NN	XXX
freshly	RB	XXX
ground	JJ	XXX
black	JJ	XXX
pepper	NN	XXX
		
1	CD	XXX
teaspoon	NN	XXX
ground	NN	XXX
cumin	NN	XXX
		
950ml	CD	XXX
water	NN	XXX
		
180ml	CD	XXX
ghee	NN	XXX
		
185g	CD	XXX
besan	NN	XXX
		
35g	CD	XXX
desiccated	VBN	XXX
coconut	NN	XXX
(	(	XXX
optional	JJ	XXX
)	)	XXX
		
3	CD	XXX
tablespoons	NNS	XXX
ground	NN	XXX
almonds	NNS	XXX
		
100g	CD	XXX
caster	NN	XXX
sugar	NN	XXX
		
1/2	CD	XXX
teaspoon	NN	XXX
ground	NN	XXX
cardamom	NN	XXX
		
1	CD	XXX
g	JJ	XXX
saffron	NN	XXX
threads	NNS	XXX
		
1	CD	XXX
pinch	JJ	XXX
saffron	NN	XXX
threads	NNS	XXX
		
355	CD	XXX
ml	NNS	XXX
hot	JJ	XXX
milk	NN	XXX
		
350ml	CD	XXX
hot	JJ	XXX
milk	NN	XXX
		
180	CD	XXX
ml	NN	XXX
vegetable	JJ	XXX
oil	NN	XXX
		
175ml	CD	XXX
vegetable	JJ	XXX
oil	NN	XXX
		
210	CD	XXX
g	JJ	XXX
fine	JJ	XXX
sooji	NN	XXX
(	(	XXX
semolina	NN	XXX
)	)	XXX
		
200g	CD	XXX
fine	JJ	XXX
semolina	NN	XXX
		
110	CD	XXX
g	NN	XXX
banana	NN	XXX
(	(	XXX
optional	JJ	XXX
)	)	XXX
		
100g	CD	XXX
banana	NN	XXX
(	(	XXX
optional	JJ	XXX
)	)	XXX
		
250	CD	XXX
g	JJ	XXX
white	JJ	XXX
sugar	NN	XXX
		
250g	CD	XXX
caster	NN	XXX
sugar	NN	XXX
		
120	CD	XXX
ml	NN	XXX
ghee	NN	XXX
		
125ml	CD	XXX
ghee	NN	XXX
(	(	XXX
clarified	JJ	XXX
butter	NN	XXX
)	)	XXX
		
120	CD	XXX
ml	JJ	XXX
cashews	NNS	XXX
		
100g	CD	XXX
cashew	NN	XXX
pieces	NNS	XXX
		
70	CD	XXX
g	NN	XXX
raisins	NNS	XXX
		
75g	CD	XXX
sultanas	NNS	XXX
		
