2	CD	QTY
tsp	NN	UNIT
powdered	VBD	COM
gelatine	NN	NAME

500	CD	QTY
ml	JJ	UNIT
semi-skimmed	JJ	COM
milk	NN	NAME

2	CD	QTY
tbsp	JJ	UNIT
caster	NN	NAME
sugar	NN	NAME

1	CD	QTY
tsp	JJ	UNIT
pure	NN	COM
almond	NN	NAME
extract	NN	NAME

Mixed	NNP	COM
fruit	NN	NAME
cut	NN	OTHER
neatly	RB	COM

3	CD	QTY
Oranges	NNS	NAME

3	CD	QTY
tbsp	JJ	UNIT
caster	NN	NAME
sugar	NN	NAME

2	CD	QTY
cardamom	NN	NAME
pods	NNS	NAME
very	RB	OTHER
lightly	RB	COM
crushed	VBN	COM

1	CD	QTY
tbsp	NN	UNIT
lemon	NN	NAME
juice	NN	NAME

1	CD	QTY
tbsp	JJ	UNIT
orange-flower	JJ	NAME
water	NN	NAME
or	CC	OTHER
more	JJR	OTHER
to	TO	OTHER
taste	VB	OTHER

2	CD	QTY
bananas	NNS	NAME

½	NN	OTHER
pomegranate	NN	NAME

50g	CD	QTY
nyoze	NN	OTHER
(	(	OTHER
pine	JJ	NAME
nuts	NNS	NAME
)	)	OTHER

1	CD	QTY
tbsp	JJ	UNIT
olive	JJ	NAME
oil	NN	NAME

1	CD	QTY
baby	NN	NAME
onion	NN	NAME
,	,	OTHER
finely	RB	COM
chopped	VBD	COM

1	CD	QTY
garlic	JJ	NAME
clove	NN	NAME
,	,	OTHER
crushed	VBD	COM

15g	CD	QTY
unsalted	JJ	COM
butter	NN	NAME

350g	CD	QTY
mushrooms	NNS	NAME
,	,	OTHER
thickly	RB	COM
sliced	VBD	COM

100g	CD	QTY
mixed	JJ	COM
exotic	JJ	NAME
mushrooms	NNS	NAME
,	,	OTHER
thickly	RB	COM
sliced	VBD	COM
,	,	OTHER
optional	JJ	COM

2	CD	QTY
tsp	JJ	UNIT
balsamic	JJ	NAME
vinegar	NN	NAME

1	CD	QTY
tsp	NN	UNIT
chopped	VBD	COM
fresh	JJ	COM
thyme	NN	NAME

6	CD	QTY
eggs	NNS	NAME

2	CD	QTY
tablespoons	NNS	UNIT
mayonnaise	NN	NAME

1	CD	QTY
teaspoon	NN	UNIT
Dijon	NNP	NAME
mustard	NN	NAME
,	,	OTHER
ordinary	JJ	OTHER
mustard	NN	NAME
can	MD	OTHER
be	VB	OTHER
used	VBN	OTHER

1/2	CD	QTY
teaspoon	NN	UNIT
salt	NN	NAME

1/4	CD	QTY
teaspoon	NN	UNIT
ground	NN	COM
black	JJ	COM
pepper	NN	NAME

1/4	CD	QTY
teaspoon	NN	UNIT
Cayenne	NNP	NAME
poweder	NN	NAME
,	,	OTHER
Kashmiri	NNP	NAME
degi	VBZ	NAME
mirch	NN	NAME
or	CC	OTHER
similar	JJ	OTHER
mild	NNS	COM
chilly	RB	NAME

1	CD	QTY
3/4	CD	QTY
litres	NNS	UNIT
water	NN	NAME

600g	CD	QTY
sooji	NN	NAME
or	CC	OTHER
sabudana	VB	NAME
flour	NN	NAME

250g	CD	QTY
whole	JJ	NAME
wheat	NN	NAME
flour	NN	NAME

4	CD	QTY
tablespoons	NNS	UNIT
chana	VBP	NAME
flour	NN	NAME
(	(	OTHER
gram	VB	NAME
flour	NN	NAME
)	)	OTHER

1/2	CD	QTY
tsp	NN	UNIT
chilly	RB	NAME
powder	VB	NAME

1	CD	QTY
tsp	NN	UNIT
salt	NN	NAME

1	CD	QTY
tsp	JJ	UNIT
fennel	NN	NAME
seeds	NNS	NAME
,	,	OTHER
coarsely	RB	COM
ground	NN	COM

1/2	CD	QTY
tsp	JJ	UNIT
cumin	NN	NAME
seeds	NNS	NAME

2	CD	QTY
tbsp	NN	UNIT
vegetable	JJ	NAME
oil	NN	NAME

pinch	NN	UNIT
of	IN	OTHER
soda	NN	NAME
bicarb	NN	NAME
,	,	OTHER
optional	JJ	COM

100g	CD	QTY
finely	RB	COM
chopped	VBN	COM
fresh	JJ	COM
spinach	NN	NAME

60ml	CD	QTY
vegetable	JJ	NAME
oil	NN	NAME
for	IN	OTHER
frying	NN	COM

2	CD	QTY
tablespoons	NNS	UNIT
vegetable	JJ	NAME
oil	NN	NAME

350g	CD	QTY
long	JJ	COM
grain	NN	NAME
rice	NN	NAME

225g	CD	QTY
tomato	NN	NAME
paste	NN	NAME

1	CD	QTY
teaspoon	NN	UNIT
minced	VBD	COM
garlic	JJ	NAME

1/4	CD	QTY
teaspoon	NN	UNIT
salt	NN	NAME

1	CD	QTY
teaspoon	NN	UNIT
freshly	RB	COM
ground	JJ	NAME
black	JJ	COM
pepper	NN	NAME

1	CD	QTY
teaspoon	NN	UNIT
ground	NN	COM
cumin	NN	NAME

950ml	CD	QTY
water	NN	NAME

180ml	CD	QTY
ghee	NN	NAME

185g	CD	QTY
besan	NN	NAME

35g	CD	QTY
desiccated	VBN	COM
coconut	NN	NAME
(	(	OTHER
optional	JJ	COM
)	)	OTHER

3	CD	QTY
tablespoons	NNS	UNIT
ground	NN	COM
almonds	NNS	NAME

100g	CD	QTY
caster	NN	NAME
sugar	NN	NAME

1/2	CD	QTY
teaspoon	NN	UNIT
ground	NN	COM
cardamom	NN	NAME

1	CD	QTY
g	JJ	OTHER
saffron	NN	NAME
threads	NNS	UNIT

1	CD	QTY
pinch	JJ	UNIT
saffron	NN	NAME
threads	NNS	UNIT

355	CD	QTY
ml	NNS	UNIT
hot	JJ	COM
milk	NN	NAME

350ml	CD	QTY
hot	JJ	COM
milk	NN	NAME

180	CD	QTY
ml	NN	UNIT
vegetable	JJ	NAME
oil	NN	NAME

175ml	CD	QTY
vegetable	JJ	NAME
oil	NN	NAME

210	CD	QTY
g	JJ	OTHER
fine	JJ	COM
sooji	NN	NAME
(	(	OTHER
semolina	NN	NAME
)	)	OTHER

200g	CD	QTY
fine	JJ	COM
semolina	NN	NAME

110	CD	QTY
g	NN	OTHER
banana	NN	NAME
(	(	OTHER
optional	JJ	COM
)	)	OTHER

100g	CD	QTY
banana	NN	NAME
(	(	OTHER
optional	JJ	COM
)	)	OTHER

250	CD	QTY
g	JJ	OTHER
white	JJ	COM
sugar	NN	NAME

250g	CD	QTY
caster	NN	NAME
sugar	NN	NAME

120	CD	QTY
ml	NN	UNIT
ghee	NN	NAME

125ml	CD	QTY
ghee	NN	NAME
(	(	OTHER
clarified	JJ	COM
butter	NN	NAME
)	)	OTHER

120	CD	QTY
ml	JJ	UNIT
cashews	NNS	NAME

100g	CD	QTY
cashew	NN	NAME
pieces	NNS	UNIT

70	CD	QTY
g	NN	OTHER
raisins	NNS	NAME

75g	CD	QTY
sultanas	NNS	NAME

2	CD	QTY
tablespoons	NNS	UNIT
olive	JJ	NAME
oil	NN	NAME

1	CD	QTY
large	JJ	COM
onion	NN	NAME
,	,	OTHER
cleaned	VBN	COM
and	CC	OTHER
thinly	RB	COM
sliced	VBD	COM

2	CD	QTY
cloves	NNS	NAME
garlic	JJ	NAME
,	,	OTHER
minced	VBD	COM

230g	CD	QTY
Arborio	NNP	NAME
rice	NN	NAME

500ml	CD	QTY
chicken	JJ	NAME
stock	NN	NAME
,	,	OTHER
divided	VBD	COM

250ml	CD	QTY
dry	JJ	COM
white	JJ	COM
wine	NN	NAME
,	,	OTHER
optional	JJ	COM

250g	CD	QTY
scallops	NNS	NAME

250g	CD	QTY
medium	NN	COM
prawns	NNS	NAME
,	,	OTHER
peeled	VBD	COM
and	CC	OTHER
deveined	VBD	COM

60g	CD	QTY
fresh	JJ	COM
sweet	JJ	COM
peas	NNS	NAME
,	,	OTHER
trimmed	VBN	COM
and	CC	OTHER
halved	VBN	COM
crossways	NNS	COM

1	CD	QTY
medium	NN	COM
red	JJ	COM
pepper	NN	NAME
,	,	OTHER
diced	VBD	COM

3	CD	QTY
tablespoons	NNS	UNIT
grated	VBD	COM
Parmesan	NNP	NAME
cheese	NN	NAME

2	CD	QTY
teaspoons	NNS	UNIT
dried	VBD	COM
basil	NN	NAME

2	CD	QTY
tablespoons	NNS	UNIT
lemon	JJ	NAME
juice	NN	NAME

ground	NN	COM
black	JJ	COM
pepper	NN	NAME
to	TO	OTHER
taste	VB	OTHER

1	CD	QTY
egg	NN	NAME
white	JJ	COM

100g	CD	QTY
dark	JJ	COM
brown	JJ	COM
soft	JJ	COM
sugar	NN	NAME

2	CD	QTY
tablespoons	NNS	UNIT
ground	NN	COM
cinnamon	NN	NAME

1	CD	QTY
teaspoon	NN	UNIT
ground	NN	COM
cloves	NNS	NAME

1	CD	QTY
teaspoon	NN	UNIT
ground	NN	COM
ginger	NN	NAME

1	CD	QTY
tablespoon	NN	UNIT
vanilla	NN	NAME
extract	NN	NAME

500g	CD	QTY
walnut	NN	NAME
halves	NNS	OTHER

3	CD	QTY
brinjals	NNS	NAME
,	,	OTHER
about	RB	OTHER
675	CD	QTY
g	NNS	OTHER
in	IN	UNIT
total	JJ	OTHER

2	CD	QTY
large	JJ	COM
garlic	JJ	NAME
cloves	NNS	NAME

30	CD	QTY
g	NN	OTHER
ground	NN	COM
almonds	NNS	NAME

1	CD	QTY
tbsp	NN	UNIT
lemon	NN	NAME
juice	NN	NAME

1	CD	QTY
tsp	NN	UNIT
ground	NN	COM
cumin	NN	NAME

1	CD	QTY
tbsp	JJ	UNIT
extra	JJ	COM
virgin	NN	NAME
olive	JJ	NAME
oil	NN	NAME

150	CD	QTY
g	NN	OTHER
curd	NN	NAME

50	CD	QTY
g	JJ	OTHER
black	JJ	COM
olives	NNS	NAME
,	,	OTHER
roughly	RB	COM
chopped	VBD	COM

salt	NN	NAME
and	CC	OTHER
pepper	NN	NAME
to	TO	OTHER
taste	VB	OTHER

To	TO	OTHER
serve	VB	OTHER

3	CD	QTY
turai	NN	NAME
,	,	OTHER
chopped	VBD	COM
into	IN	OTHER
coins	NNS	OTHER

3	CD	QTY
carrot	NN	NAME
or	CC	OTHER
celery	NN	NAME
sticks	NNS	NAME

½	NN	OTHER
cauliflower	NN	NAME
,	,	OTHER
broken	VBN	COM
into	IN	OTHER
large	JJ	COM
florets	NNS	NAME

8	CD	QTY
pita	JJ	NAME
breads	NNS	NAME

To	TO	OTHER
garnish	VB	COM

¼	NN	OTHER
tsp	NN	UNIT
red	JJ	COM
degi	NN	NAME
mirch	NN	NAME
powder	NN	NAME
or	CC	OTHER
paprika	NN	NAME
,	,	OTHER
optional	JJ	COM

4	CD	QTY
black	JJ	COM
olives	NNS	NAME
,	,	OTHER
halved	VBD	COM

1	CD	QTY
tablespoon	NN	UNIT
vegetable	JJ	NAME
oil	NN	NAME

8	CD	QTY
baby	NN	NAME
onions	NNS	NAME
,	,	OTHER
chopped	VBD	COM

6	CD	QTY
cloves	NNS	NAME
garlic	JJ	NAME
,	,	OTHER
crushed	VBD	COM

1/2	CD	QTY
teaspoon	NN	UNIT
red	VBD	COM
dried	VBN	COM
crushed	JJ	COM
chillies	NNS	NAME

1/2	CD	QTY
teaspoon	NN	UNIT
turmeric	NN	NAME

1.4L	CD	QTY
water	NN	NAME

6	CD	QTY
stalks	NNS	NAME
lemon	JJ	NAME
grass	NN	NAME
,	,	OTHER
ground	NN	COM

4	CD	QTY
tablespoons	NNS	UNIT
tamarind	IN	NAME
juice	NN	NAME

salt	NN	NAME
to	TO	OTHER
taste	VB	OTHER

900g	CD	QTY
fish	JJ	NAME
fillets	NNS	NAME
,	,	OTHER
cut	VBD	OTHER
into	IN	OTHER
1	CD	QTY
inch	NN	UNIT
pieces	NNS	UNIT

1	CD	QTY
banana	NN	NAME
or	CC	OTHER
other	JJ	OTHER
fruit	NN	NAME
of	IN	OTHER
choice	NN	OTHER
sliced	VBD	COM

100g	CD	QTY
self-raising	JJ	OTHER
flour	NN	NAME

1	CD	QTY
tsp	NN	UNIT
baking	NN	COM
powder	NN	NAME

1	CD	QTY
tsp	NN	UNIT
cinnamon	NN	NAME

3	CD	QTY
tbsp	JJ	UNIT
castor	NN	NAME
sugar	NN	NAME

1	CD	QTY
egg	NN	NAME

100ml	CD	QTY
milk	NN	NAME

sunflower	JJR	NAME
oil	NN	NAME
for	IN	OTHER
frying	NN	COM

Honey	NNP	NAME
or	CC	OTHER
sweet	JJ	COM
cream	NN	NAME
to	TO	OTHER
